phenomenonTime,HLL_zps-09,HLL_zps-10,SSK_LH023,SSK_LH025,SSK_USP01,SSK_USP02,SSK_USP03,SSK_USP04,SSK_USP05,SSK_USP06,USP_pu002,USP_pu009,USP_pu016,USP_pu502,USP_pu504,USP_pu508,USP_pu510
2023-01-01T03:00:00.000Z,8.49928,8.30989,,,,,,,,,,,,,,,
2023-01-31T10:00:00.000Z,,,,,,,,,,,,,,,,,236.154
2023-02-02T01:00:00.000Z,,,12.8542,11.9934,,,,,,,,,,,,,
2023-02-20T21:00:00.000Z,,,,,,,,,,,94.5608,,-999.0,16.2767,,11.7317,
2023-02-20T22:00:00.000Z,,,,,,,,,,,92.578,,-999.0,16.4211,,11.2069,92.6316
2023-02-21T23:00:00.000Z,,,,,,,,,,,,,-999.0,20.8198,,14.5615,185.005
2023-03-01T06:00:00.000Z,46.7754,56.2768,,,,,,,,,,,,,,,
2023-03-23T22:00:00.000Z,16.5403,17.7569,,,,,,,,,,,,,,,
2023-04-06T01:00:00.000Z,,,,,,,,,,,92.0257,,,,,,
2023-04-15T17:00:00.000Z,,,,,,,,,,,122.013,,,,,,2.5
2023-04-15T18:00:00.000Z,7.47925,9.12317,,,,,,,,,,,,10.6792,,6.90245,
2023-04-16T18:00:00.000Z,13.9002,14.7742,,,,,,,,,,,-999.0,16.3614,,11.1125,2.5
2023-04-19T17:00:00.000Z,2.5,,,,,,,,,,,,,,,,6.67218
2023-04-19T18:00:00.000Z,2.5,2.5,,,,,,,,,,,,,,,6.54678
2023-04-21T00:00:00.000Z,,18.5542,,,,,,,,,,,-999.0,,,,
2023-04-21T01:00:00.000Z,26.3937,25.3523,,,,,,,,,,,-999.0,242.415,,12.907,16.4972
2023-04-22T22:00:00.000Z,60.1084,46.4862,,,,,,,,,,,-999.0,34.5137,,22.1024,2.5
2023-04-26T04:00:00.000Z,,,,,,,,,,,,,,,,12.5585,94.6963
2023-04-26T05:00:00.000Z,31.0923,32.5435,,,,,,,,,,,-999.0,27.8189,,13.03,106.408
2023-04-26T06:00:00.000Z,49.5633,39.2044,,,,,,,,,,,-999.0,33.1195,,22.9687,109.701
2023-04-26T07:00:00.000Z,25.634,18.5939,,,,,,,,,,,-999.0,22.5415,,15.1444,67.8803
2023-04-26T08:00:00.000Z,12.6917,14.113,,,,,,,,,,,-999.0,16.6746,,4.32727,40.2693
2023-04-26T09:00:00.000Z,2.5,4.96128,,,,,,,,,,,-999.0,9.55808,,5.6389,16.8405
2023-04-26T10:00:00.000Z,2.5,2.22984,,,,,,,,,,,-999.0,7.15913,,4.47966,8.3241
2023-04-26T11:00:00.000Z,0.258899,4.3798,,,,,,,,,,,-999.0,8.7516,,5.36102,7.53139
2023-04-26T12:00:00.000Z,2.5,1.10169,,,,,,,,,,,-999.0,7.13237,,4.64353,6.37735
2023-04-26T13:00:00.000Z,2.5,2.5,,,,,,,,,,,-999.0,5.77557,,4.11846,3.59649
2023-04-26T14:00:00.000Z,2.5,2.5,,,,,,,,,,,-999.0,4.96473,,3.42317,2.58476
2023-04-26T15:00:00.000Z,2.5,2.5,,,,,,,,,,,-999.0,5.9931,,4.13928,1.71738
2023-04-26T16:00:00.000Z,2.5,2.5,,,,,,,,,128.949,,-999.0,4.76315,,3.39707,2.10011
2023-04-26T17:00:00.000Z,2.5,2.5,,,,,,,,,,,-999.0,4.57896,,3.09491,2.94133
2023-04-26T18:00:00.000Z,2.5,2.5,,,,,,,,,,,-999.0,4.31604,,2.7467,3.27931
2023-04-26T19:00:00.000Z,0.197969,2.84582,,,,,,,,,,,-999.0,6.67088,,4.39737,5.51478
2023-04-26T20:00:00.000Z,5.32535,7.17158,,,,,,,,,,,-999.0,8.52033,,5.9232,8.96621
2023-04-26T21:00:00.000Z,9.82451,14.907,,,,,,,,,,,-999.0,11.9575,,8.90596,16.6248
2023-04-26T22:00:00.000Z,15.1959,21.1154,,,,,,,,,,,-999.0,15.4144,,11.8004,26.0002
2023-04-26T23:00:00.000Z,29.752,37.144,,,,,,,,,,,-999.0,23.1741,,17.5419,49.772
2023-04-27T00:00:00.000Z,26.2271,40.3892,,,,,,,,,,,-999.0,19.1497,,13.6964,49.4001
2023-04-27T01:00:00.000Z,36.3984,34.5773,,,,,,,,,,,-999.0,24.8608,,16.9295,77.3572
2023-04-27T02:00:00.000Z,28.001,,,,,,,,,,,,-999.0,21.7444,,17.9791,75.7348
2023-04-27T03:00:00.000Z,17.4379,,,,,,,,,,,,-999.0,16.0957,,12.3222,64.3953
2023-04-27T04:00:00.000Z,15.6451,18.5106,,,,,,,,,,,-999.0,15.1423,,10.64,62.1142
2023-04-27T05:00:00.000Z,12.6138,19.8124,,,,,,,,,,,-999.0,14.2967,,9.66643,58.7814
2023-04-27T06:00:00.000Z,18.1566,21.7647,,,,,,,,,97.3377,,-999.0,15.1141,,8.88091,58.55
2023-04-27T07:00:00.000Z,9.43429,2.5,,,,,,,,,112.061,,-999.0,10.0903,,6.02977,29.9992
2023-04-27T08:00:00.000Z,3.25799,1.11223,,,,,,,,,116.555,,-999.0,8.59872,,5.5242,19.2428
2023-04-27T09:00:00.000Z,2.5,3.87101,,,,,,,,,118.878,,-999.0,8.04268,,4.87946,9.08122
2023-04-27T10:00:00.000Z,2.5,0.70527,,,,,,,,,125.162,,-999.0,6.82135,,4.40502,4.01875
2023-04-27T11:00:00.000Z,2.5,2.5,,,,,,,,,131.458,,-999.0,5.6787,,3.8417,1.97112
2023-04-27T12:00:00.000Z,2.5,2.5,,,,,,,,,135.189,,-999.0,5.14973,,3.67186,2.17733
2023-04-27T13:00:00.000Z,2.5,2.5,,,,,,,,,136.557,,-999.0,4.62009,,3.42884,3.05257
2023-04-27T14:00:00.000Z,2.5,2.5,,,,,,,,,140.165,,-999.0,3.8733,,3.14896,5.17549
2023-04-27T15:00:00.000Z,2.5,2.5,,,,,,,,,141.893,,-999.0,3.29365,,2.74455,7.39788
2023-04-27T16:00:00.000Z,2.5,2.5,,,,,,,,,139.958,,-999.0,3.61904,,2.48741,6.7807
2023-04-27T17:00:00.000Z,2.5,2.5,,,,,,,,,137.91,,-999.0,3.55688,,2.66049,5.34794
2023-04-27T18:00:00.000Z,2.5,2.5,,,,,,,,,133.497,,-999.0,4.66477,,3.26052,1.79769
2023-04-27T19:00:00.000Z,2.5,2.5,,,,,,,,,130.238,,-999.0,5.34534,,3.68311,0.486727
2023-04-27T20:00:00.000Z,2.5,2.5,,,,,,,,,128.023,,-999.0,6.00171,,4.25464,0.396017
2023-04-27T21:00:00.000Z,2.5,1.55542,,,,,,,,,126.117,,-999.0,6.71273,,4.69665,0.612439
2023-04-27T22:00:00.000Z,2.5,2.52063,,,,,,,,,124.509,,-999.0,7.36794,,4.97682,1.85042
2023-04-27T23:00:00.000Z,2.5,3.2002,,,,,,,,,123.545,,-999.0,7.55897,,5.18553,3.21742
2023-04-28T00:00:00.000Z,1.60769,5.63693,,,,,,,,,120.487,,-999.0,8.83748,,6.10049,5.12243
2023-04-28T01:00:00.000Z,4.2346,7.52955,,,,,,,,,117.511,,-999.0,10.0027,,6.71517,8.2368
2023-04-28T02:00:00.000Z,4.20368,8.68575,,,,,,,,,114.565,,-999.0,10.962,,7.26423,11.0601
2023-04-28T03:00:00.000Z,5.14391,9.87008,,,,,,,,,112.847,,-999.0,11.3436,,8.0336,13.8487
2023-04-28T04:00:00.000Z,7.55871,11.5779,,,,,,,,,109.788,,-999.0,12.3005,,8.55844,
2023-04-28T05:00:00.000Z,13.3936,16.5849,,,,,,,,,103.098,,-999.0,15.0735,,9.74498,
2023-04-28T06:00:00.000Z,22.7163,25.8979,,,,,,,,,92.1152,,-999.0,20.089,,15.7133,27.6448
2023-04-28T07:00:00.000Z,34.5228,34.8283,,,,,,,,,84.7673,,-999.0,26.5423,,16.151,33.6433
2023-04-28T08:00:00.000Z,38.7108,39.4293,,,,,,,,,76.7654,,-999.0,28.1406,,19.8095,31.2004
2023-04-28T09:00:00.000Z,46.6289,42.3924,,,,,,,,,72.3162,,-999.0,30.3323,,21.6942,24.8141
2023-04-28T10:00:00.000Z,44.3728,42.3968,,,,,,,,,68.9739,,-999.0,30.5892,,20.7289,9.0168
2023-04-28T11:00:00.000Z,39.1107,39.8077,,,,,,,,,62.5668,,-999.0,30.009,,,2.5
2023-04-28T12:00:00.000Z,26.0485,29.9249,,,,,,,,,73.4102,,-999.0,25.5968,,,2.5
2023-04-28T13:00:00.000Z,27.5476,27.3972,,,,,,,,,67.5093,,-999.0,26.3359,,16.6565,2.5
2023-04-28T14:00:00.000Z,33.9587,30.3496,,,,,,,,,60.8818,,-999.0,28.4992,,20.0261,2.5
2023-04-28T15:00:00.000Z,34.1342,30.058,,,,,,,,,65.3251,,-999.0,27.5742,,16.5602,2.5
2023-04-28T16:00:00.000Z,34.1485,29.8822,,,,,,,,,64.9515,,-999.0,26.1495,,14.2344,2.5
2023-04-28T17:00:00.000Z,32.7225,30.3646,,,,,,,,,63.695,,-999.0,25.8109,,16.8484,2.5
2023-04-28T18:00:00.000Z,35.3067,29.6656,,,,,,,,,57.2663,,-999.0,27.9255,,18.9967,2.5
2023-04-28T19:00:00.000Z,21.3013,19.1495,,,,,,,,,85.1995,,-999.0,21.1361,,14.2498,2.5
2023-04-28T20:00:00.000Z,11.6102,12.4881,,,,,,,,,101.183,,-999.0,15.8562,,10.1301,2.5
2023-04-28T21:00:00.000Z,19.5537,18.6969,,,,,,,,,90.0911,,-999.0,18.9777,,12.1888,2.5
